year,exam_id,question_id,stage,typeA,examKind,qCategory,qSubcategory
1534,E7791e555f3d8,Qdf638ab162a1,초시,대과,식년시,表,
1534,E5daea74ee893,Qe7648c4f4402,초시,대과,알성시,論,
1535,Eed892249bbae,Q03dd8fe7cef3,,대과,별시,策,
1535,E4c662e19875b,Qfffb2b3109d7,,대과,알성시,,
1535,Ec354f6ecc597,Q7114720ddc00,,대과,개성별시,,
1536,E5949d3dee3e9,Q941c7349db8e,초시,대과,별시,賦,
1536,E5949d3dee3e9,Q37be5cd6ba04,초시,대과,별시,箴,
1536,Ec37e59b37f52,Q1fa5e3ef9547,초시,대과,중시,策,
1536,E957aace05a5d,Qd431f030b575,초시,대과,친시,製述,
1537,E5bee31d50a38,Q296bdeb4b7df,,소과,식년시,,
1537,Ef619c4bc8e78,Q9ca15bb37549,,대과,식년시,策,
1537,E2eaff2e64d88,Q969c564220f2,,대과,별시,策,
1538,E104fc742426d,Q7ab17b6f8ee3,초시,대과,알성시,箋,
1538,Ea9931ad28311,Qbc0f90f25f84,초시,대과,별시,表,
1538,Eb1e0aab4010c,Q49dde8f4fb46,초시,대과,탁영시,,
1539,E35b39564aae9,Qfc0ecf953541,,대과,별시,策,
1539,E1b9d68f6ce91,Qf941cc0c83d4,,대과,별시2,,
1540,Eb14b0e083fbb,Qaa2633d3f8cb,,소과,식년시,,
1540,E465f40a394d8,Q2dbd46459f66,,대과,식년시,,
1540,E82b1ac7e5f48,Qe70f56d5f8c8,,대과,별시,策,
1541,E5de75a341069,Q7dbd8de11e1c,,대과,알성시,表,
1542,Eda3a479632ec,Qfc678349db6f,,대과,정시,論,
1542,Eda3a479632ec,Q88c7edd43383,,대과,정시,頌,
1543,E3cda9af1b2cc,Q3a84f6fa4642,,소과,식년시,,
1543,E1adfc3406342,Q941ff60a9cdd,,대과,식년시,表,
1544,E13c89db7e4b4,Qfcac608aef66,,대과,별시,策,
1546,Eb36beb62e5e4,Qeb0524be0eb4,전시,소과,증광시,,
1546,E973183716d20,Q65b8f5e58da8,전시,대과,증광시,表,
1546,Ed8cb168d9ed6,Q0eaf6c4b9256,전시,소과,식년시,,
1546,Ec00d45091683,Q78960ad9f125,전시,대과,식년시,,
1546,E5bbd20b47710,Qf092330f51d7,전시,대과,중시,,
1547,Eeed7432c5988,Qbe67a9c00202,전시,대과,알성시,箋,
1548,E565775bde463,Q472bf10ae9d8,전시,대과,별시,,
1549,E50cae7899ecd,Qf753bd24f203,,소과,식년시,,
1549,E0ca67e9449e9,Q569a29f38c3e,,대과,식년시,,
1551,E972e22dd9749,Q054bd40f1cef,,대과,알성시,箋,
1552,E9e2c6a700edb,Qd51e5943bc97,복시,소과,식년시,,
1552,E837b6c3873e7,Q438216da1d6f,,대과,식년시,,
1553,Eea21f780c539,Q7aad934fa949,,대과,별시,策,
