person_id,name_question
536,1666년_식년시소과_초시_문제
537,1666년_식년시소과_복시_문제
538,1666년_식년시대과_전시_문제
539,1666년_온양별시대과_전시_문제
540,1666년_별시대과_전시_문제
541,1666년_중시대과_전시_문제
542,1668년_별시대과_전시_문제
543,1668년_정시대과_전시_문제
544,1669년_평안도별시대과_전시_문제
545,1669년_식년시소과_초시_문제
546,1669년_식년시소과_복시_문제
547,1669년_식년시대과_전시_문제
548,1669년_정시대과_전시_문제
549,1670년_별시대과_전시_문제
550,1671년_정시대과_전시_문제
551,1672년_별시대과_전시_문제
552,1672년_식년시소과_초시_문제
553,1673년_식년시소과_복시_문제
554,1673년_춘당대시대과_전시_문제
555,1673년_식년시대과_전시_문제
556,1675년_식년시소과_초시_문제
557,1675년_식년시소과_복시_문제
558,1675년_식년시대과_전시_문제
559,1675년_증광시소과_초시_문제
560,1675년_증광시소과_복시_문제
561,1675년_증광시대과_전시_문제
562,1676년_정시대과_전시_문제
563,1676년_증광시소과_초시_문제
564,1677년_증광시소과_복시_문제
565,1677년_알성시대과_전시_문제
566,1678년_증광시대과_전시_문제
567,1678년_정시대과_전시_문제
568,1679년_정시대과_전시_문제
569,1679년_중시대과_전시_문제
570,1679년_식년시소과_초시_문제
571,1679년_식년시소과_복시_문제
572,1679년_식년시대과_전시_문제
573,1680년_춘당대시대과_전시_문제
574,1680년_정시대과_전시_문제
575,1680년_별시대과_전시_문제
576,1681년_알성시대과_전시_문제
577,1681년_식년시소과_초시_문제
578,1681년_식년시소과_복시_문제
579,1681년_식년시대과_전시_문제
580,1682년_춘당대시대과_전시_문제
581,1682년_증광시소과_초시_문제
582,1682년_증광시소과_복시_문제
583,1682년_증광시대과_전시_문제
584,1683년_증광시소과_초시_문제
585,1683년_증광시소과_복시_문제
586,1683년_증광시대과_전시_문제
587,1684년_정시대과_전시_문제
588,1684년_식년시소과_초시_문제
589,1684년_식년시소과_복시_문제
590,1684년_식년시대과_전시_문제
591,1686년_알성시대과_전시_문제
592,1686년_별시대과_전시_문제
593,1686년_중시대과_전시_문제
594,1686년_함경도별시대과_전시_문제
595,1686년_정시대과_전시_문제
596,1687년_식년시소과_초시_문제
597,1687년_식년시소과_복시_문제
598,1687년_알성시대과_전시_문제
599,1687년_식년시대과_전시_문제
600,1689년_증광시대과_초시_문제
601,1689년_증광시대과_복시_문제
602,1689년_증광시소과_초시_문제
603,1689년_증광시소과_복시_문제
604,1689년_증광시대과_전시_문제
605,1689년_식년시소과_초시_문제
606,1689년_식년시소과_복시_문제
607,1690년_식년시대과_전시_문제
608,1690년_정시대과_전시_문제
609,1691년_증광시소과_초시_문제
610,1691년_증광시소과_복시_문제
611,1691년_증광시대과_전시_문제
612,1691년_알성시대과_전시_문제
613,1692년_춘당대시_전시_문제
614,1692년_식년시소과_초시_문제
615,1692년_식년시소과_복시_문제
616,1693년_식년시대과_전시_문제
617,1693년_알성시대과_전시_문제
618,1693년_개성정시대과_전시_문제
619,1694년_별시대과_초시_문제
620,1694년_별시대과_전시_문제
621,1694년_알성시대과_전시_문제
622,1695년_평안도별시대과_전시_문제
623,1695년_별시대과_초시_문제
624,1695년_별시대과_전시_문제
625,1696년_식년시대과_초시_문제
626,1696년_정시대과_전시_문제
627,1696년_식년시소과_복시_문제
628,1696년_식년시대과_전시_문제
629,1697년_정시대과_전시_문제
630,1697년_중시_전시_문제
631,1698년_알성시대과_전시_문제
632,1698년_식년시대과_초시_문제
633,1699년_증광시대과_초시_문제
634,1699년_증광시대과_복시_문제
635,1699년_식년시소과_복시_문제
636,1699년_식년시대과_복시_문제
637,1699년_정시대과_전시_문제
638,1699년_식년시대과_전시_문제
639,1699년_증광시소과_초시_문제
640,1699년_증광시소과_복시_문제
641,1699년_증광시대과_전시_문제
642,1700년_춘당대시대과_전시_문제
643,1702년_식년시소과_초시_문제
644,1702년_식년시대과_초시_문제
645,1702년_알성시대과_전시_문제
646,1702년_함경도별시대과_전시_문제
647,1702년_식년시소과_복시_문제
648,1702년_식년시대과_복시_문제
649,1702년_식년시대과_전시_문제
650,1702년_별시대과_초시_문제
651,1702년_별시대과_전시_문제
652,1704년_식년시소과_초시_문제
653,1704년_식년시대과_초시_문제
654,1704년_춘당대시대과_전시_문제
655,1705년_식년시소과_복시_문제
656,1705년_식년시대과_복시_문제
657,1705년_식년시대과_전시_문제
658,1705년_알성시대과_전시_문제
659,1705년_증광시대과_초시_문제
660,1705년_증광시대과_복시_문제
661,1705년_증광시소과_초시_문제
662,1705년_증광시소과_복시_문제
663,1705년_증광시대과_전시_문제
664,1706년_정시대과_전시_문제
665,1707년_별시대과_초시_문제
666,1707년_별시대과_전시_문제
667,1707년_중시_전시_문제
668,1707년_식년시소과_초시_문제
669,1707년_식년시대과_초시_문제
670,1708년_식년시소과_복시_문제
671,1708년_식년시대과_복시_문제
672,1708년_식년시대과_전시_문제
673,1709년_알성시대과_전시_문제
674,1710년_증광시소과_초시_문제
675,1710년_증광시대과_초시_문제
676,1710년_증광시소과_복시_문제
677,1710년_증광시대과_복시_문제
678,1710년_증광시대과_전시_문제
679,1710년_식년시소과_초시_문제
680,1710년_춘당대시대과_전시_문제
681,1710년_식년시대과_초시_문제
682,1711년_식년시소과_복시_문제
683,1711년_식년시대과_복시_문제
684,1711년_식년시대과_전시_문제
685,1712년_정시대과_전시_문제
686,1713년_증광시소과_초시_문제
687,1713년_증광시대과_초시_문제
688,1713년_증광시소과_복시_문제
689,1713년_증광시대과_복시_문제
690,1713년_증광시대과_전시_문제
691,1714년_증광시소과_초시_문제
692,1714년_증광시대과_초시_문제
693,1714년_증광시소과_복시_문제
694,1714년_증광시대과_복시_문제
695,1714년_증광시대과_전시_문제
696,1715년_식년시소과_초시_문제
697,1715년_식년시대과_초시_문제
698,1715년_식년시소과_복시_문제
699,1715년_식년시대과_복시_문제
